session_id,count,groups,delta_ts,days
hjd0htg07mu7r5dw,100,91-100,0 days 00:12:22,0
0ri5iodv6n62mdo5,100,91-100,0 days 00:11:18,0
vfenzr0t4gv43v90,100,91-100,57 days 00:09:58,57
0iwrmdq50bk7lbvy,100,91-100,0 days 00:11:08,0
96d8a0pphvbotv4r,100,91-100,57 days 00:10:29,57
t7ajwa4h6nkyed0h,100,91-100,57 days 00:03:34,57
03yibugjr0uocos6,100,91-100,57 days 00:06:41,57
afdyb5vojrtaqrbi,100,91-100,57 days 00:04:32,57
y5poov14eid1nio4,100,91-100,57 days 00:07:24,57
i6apj13zolj5ohb0,100,91-100,57 days 00:09:52,57
35klfcodumj79cwb,100,91-100,57 days 00:02:54,57
prpy227vhrikf6lb,100,91-100,0 days 00:10:06,0
f6uxohqb2tgjuepz,100,91-100,0 days 00:11:10,0
q9l4xmxzvtsadvo4,100,91-100,57 days 00:02:41,57
qcxtyn47vzub5cb0,100,91-100,57 days 00:06:22,57
ba3bby91vjcv1892,100,91-100,57 days 00:11:39,57
hubxm1yr1x2dfd8j,100,91-100,57 days 00:15:01,57
tks9zz7m1ekg2rd6,100,91-100,57 days 00:04:28,57
8c816isadge3n1qu,100,91-100,0 days 00:11:23,0
adjscmawnx52lcvo,100,91-100,0 days 00:11:56,0
cm42d5jrvclnbwpy,100,91-100,57 days 00:09:20,57
zsxqwmn8rbi1cq5w,100,91-100,57 days 00:00:54,57
rtfdrua4j6vre5v5,100,91-100,0 days 00:12:58,0
psp8e35p0x0phmnw,100,91-100,0 days 00:12:47,0
3fnwiulwjoatako7,100,91-100,57 days 00:02:58,57
em8nzg3ffm9vlpe2,100,91-100,57 days 00:04:43,57
d7c2oc52tkkruzc1,100,91-100,57 days 00:01:55,57
tndw766scmoi6dik,100,91-100,57 days 00:02:18,57
n6agiut0ho1y54ma,100,91-100,57 days 00:06:03,57
33d1l3aeh98ipq73,100,91-100,0 days 00:12:27,0
cgvulsdgrsdwz600,100,91-100,0 days 00:12:21,0
w4s974imfcvcw5kf,100,91-100,57 days 00:02:33,57
yj9hvd9kfuvl74hp,100,91-100,0 days 00:13:26,0
9liim9iltpdh68lf,100,91-100,0 days 00:13:00,0
t1tnr5k26c3qt0j8,100,91-100,57 days 00:03:20,57
juaker5e0dpbm7vf,100,91-100,0 days 00:12:01,0
n8v0bu7f5fk5ztgk,100,91-100,0 days 00:14:33,0
wcjl54cy7gd6514p,100,91-100,57 days 00:10:32,57
ubii47e6lc3hznpu,100,91-100,0 days 00:17:07,0
elk0f4nvr8lq7l5d,100,91-100,57 days 00:08:29,57
rh0a21vlzx5rwqsf,100,91-100,57 days 00:04:10,57
g5dsengmnl262qy7,100,91-100,57 days 00:12:56,57
t8ar2d5jfudw3vr7,100,91-100,0 days 00:10:24,0
tsf3mc3eo86j6ulr,100,91-100,57 days 00:12:52,57
catvs1pygyxiiktv,100,91-100,0 days 00:11:17,0
kavwxhu183yvse77,100,91-100,57 days 00:01:25,57
ks4w4pveas00trj2,100,91-100,0 days 00:13:03,0
mv5x2chyqe6emwwj,100,91-100,57 days 00:01:49,57
dt8417jzst7xhw59,100,91-100,0 days 00:10:24,0
v0bn7myqxfjtdaww,100,91-100,0 days 00:13:12,0
i9dvzlous6xppd2v,100,91-100,57 days 00:00:03,57
agejc6w7xqh8asmy,100,91-100,57 days 00:08:57,57
vo6m3m1gflh28tfd,100,91-100,0 days 00:11:38,0
z9upallrro7n4m1s,100,91-100,0 days 00:10:54,0
3favrqkzpvyndq8b,100,91-100,0 days 00:10:59,0
qvgiv4d013i1sx75,100,91-100,57 days 00:03:43,57
dn88eulx6zq8otjm,100,91-100,57 days 00:08:04,57
a0dficn70pjl98vi,100,91-100,0 days 00:09:37,0
nj1w2cxcuuoya4h9,100,91-100,0 days 00:11:19,0
ojulf3dw6bqok8jt,100,91-100,0 days 00:10:03,0
x2x2s59jqa9bpmeg,100,91-100,0 days 00:13:11,0
3sly8ttppx3hqx4v,100,91-100,0 days 00:12:37,0
s3rfbheqymcmhjh3,100,91-100,0 days 00:12:08,0
a93yy9geagtulqu6,100,91-100,57 days 00:10:16,57
clzhvqmwpwa1sz7i,100,91-100,57 days 00:03:04,57
obgpnvafy7x1pqbq,100,91-100,0 days 00:12:30,0
vkms6641u962zoi2,100,91-100,0 days 00:11:40,0
kw3yshbsttr4xdia,100,91-100,0 days 00:09:25,0
rxcsjuwxygdo110b,100,91-100,0 days 00:10:13,0
jey2sy6no9xtmw3x,100,91-100,0 days 00:12:18,0
3mgcwlyjyxnqgrhj,100,91-100,0 days 00:11:20,0
hkw49kpl2jfvwn4s,100,91-100,57 days 00:01:21,57
oodwkaw2mpiqf9p9,100,91-100,57 days 00:07:08,57
rvqvs7n0653aku5e,100,91-100,0 days 00:12:09,0
ipycole848tawmjs,100,91-100,57 days 00:03:48,57
9y2y2n54t7jxqe9x,100,91-100,0 days 00:11:20,0
nkaa09yr5cyffu7h,100,91-100,0 days 00:12:03,0
8xkd5baum6t3uy4w,100,91-100,0 days 00:10:47,0
wlfild68izujmxbt,100,91-100,0 days 00:12:22,0
rkdhvt8ti8avuuz1,100,91-100,0 days 00:11:43,0
kj9nakviynrc0xml,100,91-100,0 days 00:11:00,0
6m298onb78gfj4gx,100,91-100,0 days 00:11:56,0
kuhjlnx05a4lf25r,100,91-100,57 days 00:05:04,57
q6vhqmuzlauway2u,100,91-100,0 days 00:11:56,0
elcvom0qd84fxbu8,100,91-100,57 days 00:10:30,57
pbjsir6o4t8rossr,100,91-100,57 days 00:06:36,57
5iuuypxsxetj6y63,100,91-100,0 days 00:12:01,0
r875xuh8c5h8o9g3,100,91-100,57 days 00:13:39,57
doh267rgjg8kmd2z,100,91-100,57 days 00:08:47,57
ghe10yv4lsehm315,100,91-100,0 days 00:11:35,0
tun40odruofgkbik,100,91-100,57 days 00:07:43,57
haxfx4wjkha107fl,100,91-100,0 days 00:11:24,0
9vyh21q2rxhra8iw,100,91-100,0 days 00:12:34,0
5uyfmcj0ycv389a1,100,91-100,57 days 00:08:54,57
8wx22fk9ju1i6uu7,100,91-100,57 days 00:06:33,57
7a8v1f5swb7e6j5m,100,91-100,57 days 00:08:06,57
ir9kj8b5w1flhoe4,100,91-100,0 days 00:11:51,0
v0o21oc6vyzhvcc5,100,91-100,57 days 00:06:55,57
4ss5bkyc21vq6et1,100,91-100,57 days 00:12:20,57
u66wycp4v4x6ckr7,100,91-100,0 days 00:11:47,0
fy1jpnd63f7m4nku,100,91-100,57 days 00:09:01,57
lcd3efacif93bzer,100,91-100,57 days 00:10:02,57
adv2agwhqkpbzq1z,100,91-100,0 days 00:10:55,0
jh5nxxmevsg6w81m,100,91-100,57 days 00:10:03,57
vhy2q3v24d3u7ojm,100,91-100,0 days 00:13:08,0
zms2z9zho7he23j0,100,91-100,57 days 00:02:19,57
i3zirga8xlsa0278,100,91-100,0 days 00:11:56,0
uhb2545f4suo5e2x,100,91-100,0 days 00:12:02,0
erirc33xfnyk98k3,100,91-100,57 days 00:08:18,57
1ftvmmgg9i6oqeaw,100,91-100,57 days 00:10:49,57
y0b41i08uuhcj10y,100,91-100,57 days 00:13:18,57
x7ey7rzfcn6eyrg8,100,91-100,0 days 00:12:24,0
6rk6z65dnlrgbgfn,100,91-100,0 days 00:12:32,0
qle70pt3fnzsogo3,100,91-100,0 days 00:11:14,0
26x2sbdglvxmohgl,100,91-100,57 days 00:05:07,57
eivscxu8canab4mu,100,91-100,0 days 00:13:08,0
77xf1ntv758gjtew,100,91-100,57 days 00:10:20,57
dmvw4ui258ubql67,100,91-100,57 days 00:02:24,57
iwhluq6atb10xbmf,100,91-100,0 days 00:12:50,0
dgyxp4iro023f61h,100,91-100,0 days 00:11:21,0
di78fdigb26tfl7i,100,91-100,57 days 00:10:43,57
iy9pl8ty271m7vhf,100,91-100,57 days 00:06:09,57
ip9cxmm02mnx5ocs,100,91-100,0 days 00:12:24,0
hb2804cyu4gqvwcs,100,91-100,57 days 00:05:51,57
trzglpi1m79g719l,100,91-100,0 days 00:11:12,0
8362mkg8ysgk546y,100,91-100,0 days 00:11:14,0
x7ywipnp03xkohqb,100,91-100,0 days 00:10:45,0
srx0s1dpsdoehu8f,100,91-100,57 days 00:06:46,57
t0knbwjsmbpl52ho,100,91-100,57 days 00:02:41,57
2guolj0shy0km48q,100,91-100,0 days 00:17:10,0
d3012158oim3hiz0,100,91-100,57 days 00:07:49,57
c0bc85v7ck5pj5ik,100,91-100,0 days 00:11:38,0
ov37sec5u9olzy68,100,91-100,0 days 00:12:07,0
bgkz9fup0o9l5mgn,100,91-100,0 days 00:12:14,0
7ombag88g0hno3zu,100,91-100,0 days 00:11:12,0
lungw9y4cz6fkrtr,100,91-100,57 days 00:01:10,57
uhu6d36yfi8qdidq,100,91-100,57 days 00:01:51,57
dsrcdwdhfe0f773o,100,91-100,0 days 00:11:10,0
cyrrcnp9juqwqujp,100,91-100,0 days 00:16:47,0
bq0djj68nhil8nvg,100,91-100,57 days 00:07:10,57
hcefgvjfj4pf2sda,100,91-100,57 days 00:01:10,57
kvtcpcgzsyh4ojsu,100,91-100,57 days 00:03:38,57
c3u3l7ka2o0s3t95,100,91-100,57 days 00:07:20,57
ae4agjyukw95yxz7,100,91-100,0 days 00:11:42,0
c8lzo1yqbui6tdpk,100,91-100,57 days 00:17:43,57
qvs8socc61eotzfk,100,91-100,57 days 00:08:45,57
un5u91rsexh6q0gi,100,91-100,0 days 00:10:41,0
3qpib1zn6tbmvg8g,100,91-100,57 days 00:08:34,57
jfnb1o2m2hehtj74,100,91-100,0 days 00:11:25,0
m94hm68k0b13xe70,100,91-100,57 days 00:12:19,57
esvg3vsugmzjv27w,100,91-100,0 days 00:10:19,0
ti0z2m5spfbhy2c1,100,91-100,57 days 00:08:59,57
rtsav1sn3kargmkr,100,91-100,0 days 00:11:57,0
x1dymclb612eyqfd,100,91-100,57 days 00:07:33,57
sicqmngafg85ysxr,100,91-100,0 days 00:11:29,0
gbpxkgb7sfrsvwn6,100,91-100,57 days 00:04:16,57
1vwa6wd5p56km0r0,100,91-100,57 days 00:02:56,57
o825iai5ojxmhn5x,100,91-100,57 days 00:11:49,57
ldmprk34phc0qpbu,100,91-100,57 days 00:05:18,57
pnq7ryyhm2au1bqq,100,91-100,57 days 00:09:06,57
dmf5x6c7e0j9xp8t,100,91-100,0 days 00:11:06,0
yr2s16n68jr7eqtk,100,91-100,0 days 00:14:29,0
kar72rmq6lnh45dh,100,91-100,0 days 00:11:20,0
7rje46ith9xclkdp,100,91-100,0 days 00:13:03,0
ypdr36sq89o7t7pd,100,91-100,57 days 00:07:12,57
0gd3diuxm0nayoth,100,91-100,0 days 00:10:28,0
5wbu1uqtnvpmkokd,100,91-100,0 days 00:10:31,0
w11otpmrxhrk89wj,100,91-100,0 days 00:11:03,0
